date	place	strikes
2015-05-02	Mosul	5
2015-05-02	Ramadi	2
2015-05-02	Sinjar	1
2015-05-02	Tal Afar	1
2015-05-01	Al Hasakah	4
2015-05-01	Dayr Az Zawr	1
2015-05-01	Kobani	6
2015-05-01	Bayji	1
2015-05-01	Fallujah	1
2015-05-01	Mosul	1
2015-05-01	Ramadi	3
2015-05-01	Tal Afar	1
2015-04-30	Al Hasakah	1
2015-04-30	Ar Raqqah	2
2015-04-30	Kobani	3
2015-04-30	Al Asad	1
2015-04-30	Bayji	4
2015-04-30	Fallujah	1
2015-04-30	Mosul	3
2015-04-30	Ramadi	2
2015-04-30	Sinjar	1
2015-04-30	Tal Afar	3
2015-04-29	Al Hasakah	1
2015-04-29	Kobani	4
2015-04-29	Al Asad	1
2015-04-29	Al Hawijah	5
2015-04-29	Bayji	5
2015-04-29	Fallujah	1
2015-04-29	Mosul	1
2015-04-29	Ramadi	1
2015-04-29	Tal Afar	2
2015-04-28	Al Hasakah	3
2015-04-28	Kobani	1
2015-04-28	Al Hawijah	2
2015-04-28	Bayji	2
2015-04-28	Fallujah	2
2015-04-28	Mosul	5
2015-04-28	Ramadi	1
2015-04-28	Sinjar	1
2015-04-28	Tal Afar	3
2015-04-26	Al Hasakah	1
2015-04-26	Kobani	4
2015-04-26	Al Asad	2
2015-04-26	Bayji	7
2015-04-26	Fallujah	8
2015-04-26	Mosul	4
2015-04-26	Ramadi	2
2015-04-26	Tal Afar	3
2015-04-24	Kobani	4
2015-04-24	Fallujah	4
2015-04-24	Mosul	5
2015-04-24	Ramadi	1
2015-04-24	Tal Afar	1
2015-04-23	Al Hasakah	1
2015-04-23	Kobani	4
2015-04-23	Al Asad	1
2015-04-23	Al Qaim	1
2015-04-23	Bayji	3
2015-04-23	Fallujah	5
2015-04-23	Mosul	3
2015-04-23	Ramadi	2
2015-04-23	Sinjar	1
2015-04-22	Al Hasakah	1
2015-04-22	Kobani	6
2015-04-22	Bayji	4
2015-04-22	Fallujah	1
2015-04-22	Ramadi	3
2015-04-22	Rawah	1
2015-04-22	Tal Afar	2
2015-04-21	Al Hasakah	4
2015-04-21	Kobani	2
2015-04-21	Al Asad	2
2015-04-21	Al Hawijah	2
2015-04-21	Bayji	4
2015-04-21	Fallujah	4
2015-04-21	Mosul	4
2015-04-21	Ramadi	3
2015-04-21	Sinjar	1
2015-04-21	Tal Afar	2
2015-04-20	Al Hasakah	3
2015-04-20	Kobani	7
2015-04-20	Al Asad	2
2015-04-20	Ar Rutbah	1
2015-04-20	Bayji	8
2015-04-20	Fallujah	5
2015-04-20	Mosul	4
2015-04-20	Ramadi	5
2015-04-20	Sinjar	1
2015-04-19	Al Hasakah	1
2015-04-19	Bayji	3
2015-04-19	Fallujah	2
2015-04-19	Kirkuk	3
2015-04-19	Ramadi	3
2015-04-19	Sinjar	1
2015-04-18	Kobani	5
2015-04-18	Al Hasakah	2
2015-04-18	Bayji	3
2015-04-18	Ramadi	3
2015-04-18	Al Asad	3
2015-04-18	Fallujah	1
2015-04-18	Sinjar	1
2015-04-18	Hit	1
2015-04-18	Tal Afar	1
2015-04-17	Al Hasakah	2
2015-04-17	Kobani	6
2015-04-17	Al Asad	1
2015-04-17	Bayji	5
2015-04-17	Fallujah	1
2015-04-17	Hit	1
2015-04-17	Mosul	1
2015-04-17	Ramadi	2
2015-04-17	Sinjar	1
2015-04-17	Tal Afar	1
2015-04-16	Al Hasakah	1
2015-04-16	Al Qaim	1
2015-04-16	Ar Rutbah	1
2015-04-16	Bayji	8
2015-04-16	Fallujah	2
2015-04-16	Kirkuk	1
2015-04-16	Mosul	1
2015-04-16	Ramadi	4
2015-04-16	Sinjar	1
2015-04-15	Al Hasakah	2
2015-04-15	Kobani	4
2015-04-15	Bayji	9
2015-04-15	Fallujah	2
2015-04-15	Mosul	1
2015-04-15	Ramadi	3
2015-04-15	Sinjar	1
2015-04-15	Tal Afar	1
2015-04-14	Kobani	3
2015-04-14	Bayji	7
2015-04-14	Fallujah	3
2015-04-14	Mosul	1
2015-04-14	Ramadi	3
2015-04-14	Sinjar	1
2015-04-13	Kobani	3
2015-04-13	Al Hawijah	1
2015-04-13	Bayji	6
2015-04-13	Ramadi	4
2015-04-13	Sinjar	2
2015-04-13	Tal Afar	1
2015-04-12	Kobani	3
2015-04-12	Mosul	2
2015-04-12	Bayji	2
2015-04-12	Sinjar	1
2015-04-12	Hit	1
2015-04-12	Al Asad	1
2015-04-12	Al Hawijah	1
2015-04-12	Bayji	1
2015-04-11	Kobani	6
2015-04-11	Al Hasakah	2
2015-04-11	Mosul	2
2015-04-11	Bayji	2
2015-04-11	Sinjar	1
2015-04-11	Hit	1
2015-04-11	Al Asad	1
2015-04-11	Al Hawijah	1
2015-04-11	Bayji	1
2015-04-10	Al Hasakah	3
2015-04-10	Kobani	4
2015-04-10	Bayji	3
2015-04-10	Fallujah	2
2015-04-10	Hit	1
2015-04-10	Mosul	2
2015-04-10	Sinjar	1
2015-04-09	Al Hasakah	4
2015-04-09	Ar Raqqah	1
2015-04-09	Kobani	2
2015-04-09	Bayji	3
2015-04-09	Mosul	5
2015-04-09	Sinjar	2
2015-04-09	Tal Afar	2
2015-04-08	Al Hasakah	1
2015-04-08	Kobani	1
2015-04-08	Bayji	1
2015-04-08	Hit	1
2015-04-08	Kirkuk	1
2015-04-08	Tal Afar	1
2015-04-07	Aleppo	1
2015-04-07	Kobani	2
2015-04-07	Ar Rutbah	1
2015-04-07	Bayji	2
2015-04-07	Fallujah	3
2015-04-07	Hit	1
2015-04-07	Mosul	2
2015-04-07	Tal Afar	3
2015-04-06	Al Hasakah	2
2015-04-06	Ar Raqqah	1
2015-04-06	Kobani	2
2015-04-06	Bayji	2
2015-04-06	Mosul	3
2015-04-06	Ramadi	3
2015-04-05	Al Hasakah	2
2015-04-05	Ar Raqqah	1
2015-04-05	Al Qaim	1
2015-04-05	Bayji	1
2015-04-05	Fallujah	2
2015-04-05	Mosul	5
2015-04-05	Ramadi	1
2015-04-05	Sinjar	1
2015-04-05	Tal Afar	1
2015-04-04	Kobani	5
2015-04-04	Hasakah	1
2015-04-04	Bayji	2
2015-04-04	Tal Afar	1
2015-04-04	Al Hawijah	1
2015-04-04	Al Asad	1
2015-04-04	Sinjar	1
2015-04-04	Mosul	1
2015-04-04	Fallujah	1
2015-04-04	Sinjar	1
2015-04-03	Al Hasakah	2
2015-04-03	Kobani	4
2015-04-03	Bayji	2
2015-04-03	Rawah	1
2015-04-03	Sinjar	1
2015-04-03	Tal Afar	2
2015-04-02	Kobani	3
2015-04-02	Bayji	1
2015-04-02	Fallujah	1
2015-04-02	Sinjar	1
2015-04-02	Ramadi	1
2015-04-01	Al Hasakah	4
2015-04-01	Kobani	3
2015-04-01	Hit	1
2015-04-01	Kirkuk	1
2015-04-01	Mosul	1
2015-04-01	Ramadi	2
2015-04-01	Tal Afar	2
2015-03-31	Kobani	1
2015-03-31	Bayji	1
2015-03-31	Mosul	2
2015-03-31	Ramadi	1
2015-03-31	Sinjar	2
2015-03-31	Tikrit	1
2015-03-30	Mosul	2
2015-03-30	Sinjar	1
2015-03-30	Tal Afar	1
2015-03-30	Tikrit	3
2015-03-25	Kobani	5
2015-03-25	Bayji	5
2015-03-25	Fallujah	5
2015-03-25	Mosul	2
2015-03-25	Tal Afar	2
2015-03-24	Kobani	6
2015-03-24	Bayji	2
2015-03-24	Fallujah	1
2015-03-24	Mosul	2
2015-03-24	Sinjar	1
2015-03-24	Tal Afar	2
2015-03-23	Kobani	8
2015-03-23	Mosul	1
2015-03-23	Ramadi	1
2015-03-23	Rawah	1
2015-03-23	Sinjar	2
2015-03-23	Tal Afar	1
2015-03-22	Ar Raqqah	1
2015-03-22	Kobani	3
2015-03-22	Mosul	3
2015-03-22	Ramadi	2
2015-03-21	Kobani	3
2015-03-21	Mosul	2
2015-03-21	Kirkuk	1
2015-03-21	Hit	1
2015-03-21	Ramadi	1
2015-03-21	Taji	1
2015-03-21	Bayji	1
2015-03-20	Kobani	1
2015-03-20	Al Hawijah	1
2015-03-20	Bayji	1
2015-03-20	Haditha	1
2015-03-20	Mosul	4
2015-03-19	Al Hasakah	3
2015-03-19	Ar Raqqah	1
2015-03-19	Kobani	3
2015-03-19	Ar Rutbah	1
2015-03-19	Fallujah	2
2015-03-19	Hit	1
2015-03-19	Kirkuk	2
2015-03-19	Mosul	2
2015-03-19	Ramadi	3
2015-03-19	Sinjar	1
2015-03-18	Al Hasakah	1
2015-03-18	Kobani	1
2015-03-18	Al Asad	1
2015-03-18	Al Qaim	1
2015-03-18	Fallujah	1
2015-03-18	Kirkuk	1
2015-03-18	Mosul	2
2015-03-18	Ramadi	5
2015-03-17	Al Hasakah	2
2015-03-17	Kobani	5
2015-03-17	Al Qaim	1
2015-03-17	Fallujah	5
2015-03-17	Hit	1
2015-03-17	Kirkuk	2
2015-03-17	Mosul	2
2015-03-17	Ramadi	1
2015-03-16	Al Hasakah	3
2015-03-16	Kobani	2
2015-03-16	Al Hawijah	1
2015-03-16	Fallujah	1
2015-03-16	Hit	1
2015-03-16	Mosul	2
2015-03-16	Ramadi	2
2015-03-16	Rawah	3
2015-03-15	Kobani	4
2015-03-15	Al Asad	1
2015-03-15	Al Hawijah	1
2015-03-15	Al Qaim	1
2015-03-15	Fallujah	1
2015-03-15	Ramadi	2
2015-03-15	Tal Afar	1
2015-03-14	Kobani	1
2015-03-14	Al Hasakah	1
2015-03-14	Kirkuk	4
2015-03-14	Mosul	2
2015-03-14	Fallujah	1
2015-03-14	Rawah	1
2015-03-13	Kobani	5
2015-03-13	Al Asad	1
2015-03-13	Fallujah	2
2015-03-13	Kirkuk	1
2015-03-13	Mosul	1
2015-03-13	Rawah	1
2015-03-12	Al Asad	1
2015-03-12	Al Qaim	1
2015-03-12	Fallujah	3
2015-03-12	Kirkuk	5
2015-03-12	Mosul	1
2015-03-12	Ramadi	1
2015-03-12	Sinjar	1
2015-03-11	Al Hasakah	1
2015-03-11	Kobani	1
2015-03-11	Al Qaim	3
2015-03-11	Fallujah	3
2015-03-11	Kirkuk	1
2015-03-11	Mosul	5
2015-03-11	Rawah	1
2015-03-10	Kobani	4
2015-03-10	Fallujah	3
2015-03-10	Kirkuk	4
2015-03-10	Mosul	1
2015-03-09	Kobani	5
2015-03-09	Al Qaim	1
2015-03-09	Fallujah	4
2015-03-09	Haditha	1
2015-03-09	Kirkuk	2
2015-03-09	Tal Afar	1
2015-03-06	Dayr Az Zawr	1
2015-03-06	Kobani	2
2015-03-06	Tal Hamis	1
2015-03-06	Al Qaim	2
2015-03-06	Fallujah	4
2015-03-06	Haditha	1
2015-03-06	Mosul	2
2015-03-06	Samarra	1
2015-03-06	Taji	1
2015-03-06	Tal Afar	1
2015-03-05	Al Hasakah	1
2015-03-05	Kobani	4
2015-03-05	Tal Hamis	2
2015-03-05	Al Asad	1
2015-03-05	Fallujah	2
2015-03-05	Haditha	1
2015-03-05	Mosul	1
2015-03-04	Kobani	3
2015-03-04	Fallujah	5
2015-03-04	Ramadi	1
2015-03-04	Sinjar	3
2015-03-01	Al Hasakah	2
2015-03-01	Al Asad	1
2015-03-01	Al Qaim	1
2015-03-01	Kirkuk	1
2015-03-01	Mosul	4
2015-02-27	Al Hasakah	3
2015-02-27	Dayr Az Zawr	1
2015-02-27	Kobani	13
2015-02-27	Tal Harris	3
2015-02-27	Al Asad	3
2015-02-27	Fallujah	1
2015-02-27	Mosul	2
2015-02-27	Hit	1
2015-02-27	Ramadi	3
2015-02-27	Rawah	1
2015-02-26	Al Hasakah	4
2015-02-26	Kobani	1
2015-02-26	Al Asad	4
2015-02-26	Al Qaim	1
2015-02-26	Ar Rutbah	1
2015-02-26	Fallujah	1
2015-02-26	Kirkuk	1
2015-02-26	Mosul	1
2015-02-25	Al Hasakah	3
2015-02-25	Kobani	6
2015-02-25	Al Asad	2
2015-02-25	Mosul	3
2015-02-25	Ramadi	1
2015-02-24	Al Hasakah	10
2015-02-24	Kobani	6
2015-02-24	Al Asad	3
2015-02-24	Fallujah	1
2015-02-24	Hit	1
2015-02-24	Al Asad	1
2015-02-24	Al Hasakah	1
2015-02-22	Al Hasakah	2
2015-02-22	Dayr Az Zawr	1
2015-02-22	Kobani	3
2015-02-22	Kirkuk	1
2015-02-22	Mosul	2
2015-02-22	Tal Afar	1
2015-02-20	Al Hasakah	1
2015-02-20	Kobani	4
2015-02-20	Haditha	1
2015-02-20	Mosul	5
2015-02-20	Sinjar	2
2015-02-20	Tal Afar	1
2015-02-19	Al Hasakah	2
2015-02-19	Kobani	5
2015-02-19	Al Asad	1
2015-02-19	Bayji	1
2015-02-19	Hit	2
2015-02-19	Kirkuk	1
2015-02-19	Mosul	1
2015-02-19	Tal Afar	2
2015-02-18	Al Hasakah	1
2015-02-18	Kobani	1
2015-02-18	Al Asad	3
2015-02-18	Al Qaim	3
2015-02-18	Kirkuk	3
2015-02-18	Mosul	2
2015-02-18	Tal Afar	2
2015-02-17	Kobani	6
2015-02-17	Al Asad	2
2015-02-17	Al Qaim	1
2015-02-17	Kirkuk	1
2015-02-17	Mosul	2
2015-02-17	Sinjar	1
2015-02-17	Tal Afar	1
2015-02-13	Ar Raqqah	2
2015-02-13	Kobani	5
2015-02-13	Dayr Az Zawr	1
2015-02-13	Al Asad	5
2015-02-13	Mosul	1
2015-02-13	Sinjar	1
2015-02-12	Al Hasakah	1
2015-02-12	Kobani	2
2015-02-12	Al Asad	1
2015-02-12	Kirkuk	3
2015-02-12	Mosul	4
2015-02-12	Fallujah	2
2015-02-12	Makhmur	1
2015-02-12	Tal Afar	1
2015-02-11	Dayr Az Zawr	1
2015-02-11	Al Hasakah	1
2015-02-11	Kobani	2
2015-02-11	Bayji	1
2015-02-11	Kirkuk	1
2015-02-11	Mosul	3
2015-02-11	Fallujah	1
2015-02-10	Dayr Az Zawr	1
2015-02-10	Al Hawijah	1
2015-02-10	Al Qaim	1
2015-02-10	Ar Rutbah	1
2015-02-10	Bayji	2
2015-02-10	Kirkuk	2
2015-02-10	Makhmur	1
2015-02-10	Tal Afar	3
2015-02-09	Ar Raqqah	1
2015-02-09	Kobani	1
2015-02-09	Dayr Az Zawr	1
2015-02-09	Fallujah	1
2015-02-09	Bayji	2
2015-02-09	Mosul	1
2015-02-09	Al Asad	1
2015-02-09	Kirkuk	1
2015-02-06	Kobani	9
2015-02-06	Al Hasakah	1
2015-02-06	Bayji	3
2015-02-06	Al Asad	2
2015-02-06	Al Qaim	1
2015-02-06	Makhmur	1
2015-02-05	Kobani	3
2015-02-05	Al Asad	1
2015-02-05	Al Qaim	1
2015-02-05	Bayji	2
2015-02-05	Fallujah	2
2015-02-05	Kirkuk	1
2015-02-05	Mosul	1
2015-02-05	Tal Afar	1
2015-02-04	Kobani	11
2015-02-04	Bayji	1
2015-02-04	Tal Afar	1
2015-02-04	Al Asad	1
2015-02-04	Rawah	1
2015-02-03	Kobani	2
2015-02-03	Al Hasakah	2
2015-02-03	Ar Raqqah	1
2015-02-03	Bayji	3
2015-02-03	Tal Afar	3
2015-02-03	Fallujah	2
2015-02-03	Mosul	1
2015-02-02	Kobani	9
2015-02-02	Dayr Az Zawr	1
2015-02-02	Al Asad	1
2015-02-02	Al Hawijah	1
2015-02-02	Ar Rutbah	1
2015-02-02	Kirkuk	3
2015-02-02	Bayji	1
2015-02-02	Sinjar	1
2015-02-02	Tal Afar	1
2015-02-02	Fallujah	4
2015-02-02	Haditha	2
2015-02-02	Mosul	2
2015-02-01	Kobani	7
2015-02-01	Ar Raqqah	1
2015-02-01	Al Asad	1
2015-02-01	Al Qaim	1
2015-02-01	Hit	1
2015-02-01	Kirkuk	19
2015-02-01	Makhmur	1
2015-02-01	Sinjar	2
2015-02-01	Tal Afar	1
2015-01-30	Kobani	2
2015-01-30	Al Asad	1
2015-01-30	Tal Afar	3
2015-01-29	Kobani	5
2015-01-29	Dayr Az Zawr	1
2015-01-29	Al Asad	1
2015-01-29	Ar Rutbah	1
2015-01-29	Mosul	1
2015-01-29	Sinjar	5
2015-01-29	Tal Afar	4
2015-01-28	Kobani	13
2015-01-28	Al Asad	1
2015-01-28	Kirkuk	1
2015-01-28	Mosul	2
2015-01-28	Sinjar	1
2015-01-28	Tal Afar	1
2015-01-26	Al Qaim	1
2015-01-26	Ar Raqqah	2
2015-01-26	Dayr Az Zawr	1
2015-01-26	Kobani	17
2015-01-26	Fallujah	1
2015-01-26	Haditha	1
2015-01-26	Mosul	4
2015-01-26	Tal Afar	7
2015-01-24	Kobani	12
2015-01-24	Al Hasakah	1
2015-01-24	Al Qaim	1
2015-01-24	Mosul	5
2015-01-24	Ramadi	1
2015-01-24	Tal Afar	5
2015-01-24	Erbil	1
2015-01-23	Kobani	10
2015-01-23	Ar Raqqah	1
2015-01-23	Al Hasakah	1
2015-01-23	Al Asad	3
2015-01-23	Mosul	8
2015-01-23	Sinjar	1
2015-01-23	Tal Afar	1
2015-01-22	Kobani	9
2015-01-22	Ar Raqqah	1
2015-01-22	Kirkuk	1
2015-01-22	Mosul	16
2015-01-22	Sinjar	2
2015-01-22	Tal Afar	2
2015-01-21	Kobani	10
2015-01-21	Abu Kamal	1
2015-01-21	Ar Raqqah	2
2015-01-21	Tal Afar	3
2015-01-21	Al Qaim	1
2015-01-21	Al Asad	1
2015-01-21	Bayji	1
2015-01-21	Ramadi	1
2015-01-21	Mosul	3
2015-01-20	Kobani	9
2015-01-20	Al Hasakah	1
2015-01-20	Al Qaim	2
2015-01-20	Al Asad	2
2015-01-20	Mosul	2
2015-01-20	Sinjar	1
2015-01-20	Kirkuk	1
2015-01-20	Ramadi	1
2015-01-19	Kobani	11
2015-01-19	Aleppo	1
2015-01-19	Al Hasakah	3
2015-01-19	Bayji	3
2015-01-19	Ar Rutbah	1
2015-01-19	Taji	1
2015-01-19	Fallujah	1
2015-01-19	Ramadi	2
2015-01-19	Mosul	2
2015-01-19	Baghdad	1
2015-01-16	Kobani	6
2015-01-16	Ramadi	1
2015-01-16	Al Qaim	1
2015-01-16	Al Asad	1
2015-01-16	Mosul	2
2015-01-15	Kobani	5
2015-01-15	Ar Raqqah	3
2015-01-15	Al Hasakah	3
2015-01-15	Bayji	2
2015-01-15	Al Qaim	1
2015-01-15	Tal Afar	1
2015-01-15	Taji	1
2015-01-15	Ar Rutbah	1
2015-01-15	Al Asad	2
2015-01-15	Mosul	3
2015-01-14	Kobani	6
2015-01-14	Bayji	1
2015-01-14	Taji	1
2015-01-14	Ar Rutbah	2
2015-01-14	Baqubah	1
2015-01-14	Al Asad	1
2015-01-14	Sinjar	1
2015-01-14	Mosul	4
2015-01-14	Baghdad	1
2015-01-13	Kobani	3
2015-01-13	Dayr Az Zawr	1
2015-01-13	Tal Afar	1
2015-01-13	Sinjar	1
2015-01-13	Mosul	3
2015-01-13	Baghdad	2
2015-01-12	Kobani	9
2015-01-12	Abu Kamal	1
2015-01-12	Dayr Az Zawr	1
2015-01-12	Bayji	4
2015-01-12	Taji	1
2015-01-12	Al Qaim	2
2015-01-12	Ramadi	1
2015-01-12	Tal Afar	1
2015-01-12	Al Asad	1
2015-01-12	Sinjar	1
2015-01-12	Mosul	5
2015-01-11	Kobani	9
2015-01-11	Abu Kamal	1
2015-01-11	Erbil	1
2015-01-11	Al Asad	1
2015-01-11	Sinjar	3
2015-01-11	Mosul	4
2015-01-10	Kobani	11
2015-01-10	Al Hasakah	1
2015-01-10	Erbil	1
2015-01-10	Ramadi	1
2015-01-10	Mosul	1
2015-01-09	Kobani	5
2015-01-09	Al Qaim	1
2015-01-09	Al Asad	2
2015-01-09	Sinjar	2
2015-01-09	Mosul	1
2015-01-08	Kobani	5
2015-01-08	Al Hasakah	1
2015-01-08	Ar Rutbah	1
2015-01-08	Tal Afar	2
2015-01-08	Kirkuk	1
2015-01-08	Fallujah	1
2015-01-08	Al Asad	1
2015-01-08	Sinjar	1
2015-01-07	Kobani	10
2015-01-07	Hasakah	1
2015-01-07	Al Qaim	1
2015-01-07	Al Asad	1
2015-01-07	Ramadi	3
2015-01-07	Mosul	1
2015-01-06	Kobani	8
2015-01-06	Dayr Az Zawr	1
2015-01-06	Ar Raqqah	1
2015-01-06	Al Qaim	1
2015-01-06	Al Asad	1
2015-01-05	Kobani	8
2015-01-05	Dayr Az Zawr	6
2015-01-05	Mosul	1
2015-01-05	Al Qaim	2
2015-01-05	Ramadi	1
2015-01-05	Al Asad	2
2015-01-03	Kobani	6
2015-01-03	Mosul	1
2015-01-02	Kobani	9
2015-01-02	Ar Raqqah	2
2015-01-02	Al Hasakah	1
2015-01-02	Taji	1
2015-01-02	Al Asad	1
2015-01-02	Fallujah	3
2015-01-02	Bayji	1
2015-01-02	Al Qaim	3
2015-01-02	Mosul	2
2015-01-01	Ar Raqqah	2
2015-01-01	Dayr Az Zawr	2
2015-01-01	Kobani	13
2015-01-01	Mosul	7
2015-01-01	Fallujah	3
2015-01-01	Sinjar	1
2015-01-01	Taji	1
2014-12-31	Al Hasakah	2
2014-12-31	Kobani	5
2014-12-31	Fallujah	2
2014-12-31	Mosul	1
2014-12-30	Kobani	6
2014-12-30	Dayr Az Zawr	1
2014-12-30	Al Qaim	2
2014-12-30	Fallujah	3
2014-12-30	Ramadi	1
2014-12-30	Bayji	1
2014-12-30	Mosul	1
2014-12-29	Kobani	10
2014-12-29	Dayr Az Zawr	1
2014-12-29	Ar Raqqah	1
2014-12-29	Al Asad	2
2014-12-29	Sinjar	2
2014-12-29	Mosul	2
2014-12-26	Kobani	4
2014-12-26	Al Asad	1
2014-12-26	Al Qaim	2
2014-12-26	Fallujah	1
2014-12-26	Mosul	1
2014-12-25	Kobani	13
2014-12-25	Al Hasakah	1
2014-12-25	Ar Raqqah	1
2014-12-25	Al Qaim	3
2014-12-25	Al Asad	3
2014-12-25	Mosul	3
2014-12-25	Sinjar	3
2014-12-25	Bayji	1
2014-12-25	Kirkuk	1
2014-12-25	Tal Afar	1
2014-12-24	Kobani	8
2014-12-24	Dayr Az Zawr	1
2014-12-24	Ar Raqqah	1
2014-12-24	Al Qaim	3
2014-12-24	Sinjar	2
2014-12-24	Fallujah	1
2014-12-24	Tal Afar	1
2014-12-23	Kobani	6
2014-12-23	Barghooth	1
2014-12-23	Sinjar	2
2014-12-23	Al Asad	1
2014-12-22	Kobani	6
2014-12-22	Aleppo	3
2014-12-22	Al Hasakah	2
2014-12-22	Ar Raqqah	1
2014-12-22	Sinjar	3
2014-12-22	Al Asad	2
2014-12-22	Tal Afar	2
2014-12-22	Ramadi	1
2014-12-22	Mosul	1
2014-12-22	Fallujah	1
2014-12-21	Kobani	3
2014-12-21	Sinjar	4
2014-12-21	Bayji	2
2014-12-21	Tal Afar	2
2014-12-21	Ramadi	2
2014-12-21	Mosul	1
2014-12-21	Al Qaim	1
2014-12-21	Al Asad	1
2014-12-20	Kobani	5
2014-12-20	Tal Afar	3
2014-12-20	Ar Rutbah	3
2014-12-20	Mosul	1
2014-12-20	Bayji	1
2014-12-19	Kobani	3
2014-12-19	Ar Raqqah	1
2014-12-19	Al Asad	2
2014-12-19	Mosul	2
2014-12-19	Fallujah	1
2014-12-19	Al Qaim	1
2014-12-19	Ramadi	3
2014-12-19	Sinjar	1
2014-12-19	Tal Afar	1
